20,0,0.05,0,0,0,0.1333333333,0,0
21,0,-0.05,0,0,0,-0.1333333333,0,0
22,0,0.1,0,0.66,0,0.7695014663,0.08657718121,-0.1621923937
23,0,-0.1,0,0.71,0,-0.7663734115,-0.07248322148,0.1548098434
24,0,0.15,0,1.36,0,1.309530792,0.110738255,-0.3812080537
25,0,-0.15,0,1.49,0,-1.292375367,-0.1085011186,0.3630872483
26,0,0.2,0,2.05,0,1.84457478,0.1042505593,-0.5910514541
27,0,-0.2,0,2.17,0,-1.769794721,-0.1127516779,0.5659955257
28,0,0.25,0,3.17,0,2.256158358,0.1178970917,-0.7348993289
29,0,-0.25,0,2.7,0,-2.07086999,-0.107606264,0.6908277405
30,0,0.3,0,3.59,0,2.765395894,0.09284116331,-0.9409395973
31,0,-0.3,0,3.9,0,-2.792375367,-0.1214765101,0.9523489933
32,0,0.35,0,4.59,0,3.381182796,0.07539149888,-1.181431767
33,0,-0.35,0,4.76,0,-3.284115347,-0.1393736018,1.14049217
34,0,0.4,0,5.82,0,3.809970674,0.08747203579,-1.346532438
35,0,-0.4,0,6.18,0,-3.753665689,-0.1460850112,1.347651007
38,0.05,0,0,0,0.1274193548,0,0,0
39,-0.05,0,0,0,-0.1284946237,0,0,0
40,0.05,0.05,0,0,0.126344086,0.1268817204,0,0
41,-0.05,-0.05,0,0,-0.1258064516,-0.1252688172,0,0
42,0.05,0.1,-0.03,0.39,0.1247311828,0.7288367546,0.1514541387,-0.189261745
43,-0.05,-0.1,-0.02,0.42,-0.1241935484,-0.7225806452,-0.1463087248,0.1821029083
44,0.05,0.15,-0.09,1.18,0.1220430108,1.246627566,0.2011185682,-0.374049217
45,-0.05,-0.15,-0.11,1.18,-0.1225806452,-1.246627566,-0.2170022371,0.3715883669
46,0.05,0.2,-0.13,1.79,0.1225806452,1.786412512,0.2431767338,-0.5944071588
47,-0.05,-0.2,-0.13,1.96,-0.102688172,-1.454056696,-0.2129753915,0.4677852349
48,0.05,0.25,-0.16,2.71,0.09946236559,1.950977517,0.2351230425,-0.6326621924
49,-0.05,-0.25,-0.16,3.35,-0.09569892473,-1.754789834,-0.2161073826,0.5501118568
50,0.05,0.3,-0.14,3.71,0.1032258065,2.563049853,0.2241610738,-0.8615212528
51,-0.05,-0.3,-0.18,4.1,-0.09784946237,-2.441642229,-0.2507829978,0.7959731544
52,0.05,0.35,-0.07,2.16,0.1048387097,3.025268817,0.1586129754,-1.074272931
53,-0.05,-0.35,-0.2,4.98,-0.1010752688,-2.895845552,-0.2651006711,0.9957494407
54,0.05,0.4,-0.1,4.74,0.09946236559,3.321994135,0.177852349,-1.159955257
55,-0.05,-0.4,-0.21,6.34,-0.1,-3.359530792,-0.2789709172,1.178076063
58,0.1,0,1.19,0,0.7382209189,0,0.07181208054,-0.03646532438
59,-0.1,0,1.26,0,-0.7288367546,0,-0.05928411633,0.03422818792
60,0.1,0.05,0.77,-0.01,0.7350928641,0.126344086,0.1333333333,-0.1165548098
61,-0.1,-0.05,0.86,-0.01,-0.7413489736,-0.1274193548,-0.1232662192,0.1087248322
62,0.1,0.1,0.19,0.16,0.7413489736,0.7413489736,0.2237136465,-0.2279642058
63,-0.1,-0.1,0.22,0.18,-0.7350928641,-0.7382209189,-0.2165548098,0.2243847875
64,0.1,0.15,-0.14,0.78,0.5630498534,1.006451613,0.270917226,-0.3165548098
